price,area,location
739000,,Alexandra East Bank
,,
2000000,,Florida Park
,,
5999000,,Bryanston
,,
2495000,,Marais Steyn Park
,,
1950000,,Tembisa Central
,,
1100000,,Crystal Park
,,
1900000,,Beverley
,,
1550000,,Denneoord
,,
470000,,Leondale
,,
1370000,,North Riding
,,
9900000,,Winchester Hills
,,
6850000,,Verwoerdpark
,,
30000000,,Venterspos
,,
3350000,,Glenway Estate
,,
600000,,Douglasdale
,,
1300000,,Randpark Ridge
,,
900000,,Bootha AH
,,
795000,,Heidelberg Central
,,
2295000,,Cosmo City
,,
920000,,Roseacre
,,
3200000,,Breaunanda
,,
799000,,Olympus AH
,,
4350000,,Heritage Hill
,,
470000,,Claremont
,,
3499000,,Petersfield
,,
1570000,,Hesteapark
,,
1550000,,Suideroord
,,
705000,,Wilro Park
,,
1800000,,Duxberry
,,
2600000,,Flora Gardens
,,
299900,,Dalview
,,
1799000,,Forest Hill
,,
15450000,,Lenasia Ext 1
,,
3699000,,Selection Park
,,
220000,,Andeon
,,
5450000,,Dawn Park
,,
450000,,Dawn Park
,,
999000,,Rietvalleirand
,,
1695000,,Unitas Park
,,
2029050,,Blairgowrie
,,
750000,,Florida Park
,,
1480000,,Protea Glen
,,
2550000,,Fishers Hill
,,
799900,,Rabie Ridge
,,
1500000,,Nigel Central
,,
1150000,,Bartlett
,,
6989999,,Toekomsrus
,,
1595000,,Linksfield North
,,
795000,,Morning Hill
,,
2500000,,Ebony Park
,,
2600000,,Malvern
,,
1800000,,Vanderbijlpark CE 4
,,
890000,,Die Hoewes
,,
2750000,,Alexandra
,,
349000,,Olievenhoutbosch
,,
1700000,,North Riding
,,
1450000,,Dorandia
,,
2725000,,Kelland
,,
2699000,,Vosloorus
,,
8490000,,Davidsonville
,,
729000,,Kloofendal
,,
2100000,,Constantia Kloof
,,
2000000,,Greenhills
,,
780000,,Corlett Gardens
,,
1090000,,Esther Park
,,
815560,,Fourways Gardens
,,
795000,,Zwartkop
,,
680000,,Unitas Park
,,
2029075,,Soshanguve VV
,,
5350000,,Carlswald
,,
687000,,Kameeldrift East
,,
3050000,,Thatch Hill Estate
,,
1299000,,North Riding AH
,,
699000,,Heatherdale AH
,,
1699000,,Boksburg Central
,,
4950000,,Houghton Estate
,,
900000,,Kyalami Hills
,,
699000,,Midlands Estate
,,
1610963,,Ridgeway
,,
1160000,,Vanderbijlpark CW 6
,,
2399000,,Farrarmere
,,
1395000,,Terenure
,,
1160000,,Doornpoort
,,
591000,,Vanderbijlpark CE 3
,,
1799999,,Soshanguve VV
,,
920000,,Vosloorus
,,
1980000,,Blair Atholl Golf Estate
,,
1595000,,Soshanguve DD
,,
970000,,Riverlea
,,
700000,,Highlands North
,,
841337,,Three Rivers Proper
,,
1021575,,Krugersdorp West
,,
1590000,,Westdene
,,
2480000,,Queenswood
,,
900000,,Brenthurst
,,
4430000,,Brakpan Central
,,
4350000,,Oberholzer
,,
2995000,,Noordheuwel
,,
450000,,Elspark
,,
1150000,,Randjesfontein AH
,,
1790000,,Welverdiend
,,
2495000,,Rietondale
,,
1700000,,Sydenham
,,
2399000,,Norwood
,,
3380000,,Bryanston
,,
1699000,,Illovo
,,
670000,,Mamelodi East
,,
610000,,Morningside
,,
2650000,,Sebokeng Zone 7
,,
1850000,,Olievenhoutbosch
,,
6450000,,Palm Ridge
,,
7900000,,Bryanston
,,
1750000,,Wilro Park
,,
3200000,,Sebokeng Central
,,
1495000,,Brenthurst
,,
4499000,,Randpark Ridge
,,
1510212,,President Park
,,
1580000,,Rietfontein
,,
190000,,Willow Acres Ext 9
,,
1890000,,North Riding
,,
540000,,Three Rivers East
,,
12795000,,Bedworth Park
,,
2650000,,Constantia Kloof
,,
2150000,,Linden
,,
1495000,,Danville
,,
2100000,,Menlo Park
,,
2300000,,Morningside
,,
989000,,Ormonde
,,
8450000,,The Orchards
,,
3800000,,Tembisa Central
,,
29500000,,Fontainebleau
,,
3550000,,Roodekrans
,,
10500000,,Thatchfield Estate
,,
1270000,,Brenthurst
,,
450000,,Liefde En Vrede
,,
2550000,,Bloubosrand
,,
1550990,,Lotus Gardens
,,
550000,,Ibazelo
,,
4299000,,Falcon Ridge
,,
1000000,,Castleview
,,
3375000,,Mulbarton
,,
1699000,,Duncanville
,,
1400000,,Vanderbijlpark CW 3
,,
5500000,,Birchleigh North
,,
5200000,,Centurion Golf Estate
,,
527725,,Pretoria North
,,
3450000,,Olympus AH
,,
6995000,,Clubview West
,,
2995000,,Douglasdale
,,
764612,,Dunnottar
,,
741000,,Claremont
,,
4995000,,Dobsonville
,,
1240000,,Brackenhurst
,,
1500000,,Culemborg Park
,,
1247000,,Bram Fischerville
,,
2650000,,Dunnottar
,,
2500000,,Yeoville
,,
1850000,,Vanderbijlpark CE7
,,
499999,,Waterlake Farm Lifestyle Estate
,,
2300000,,Montana
,,
980000,,Amandasig
,,
1550000,,Risiville
,,
6150000,,Savanna City
,,
5500000,,Primrose
,,
1680000,,Rothdene
,,
1549999,,Beverley
,,
2499000,,Soshanguve East
,,
850000,,Palm Ridge
,,
1245000,,Bryanston
,,
1599000,,Savanna City
,,
5300000,,Orange Farm
,,
1920000,,Noordheuwel
,,
880000,,Brakpan Central
,,
990000,,Laudium Ext 2
,,
2199999,,Heidelberg Kloof Estate
,,
3450000,,Mohlakeng
,,
1899000,,Eastleigh
,,
895000,,Annlin
,,
2500000,,Equestria
,,
10999000,,Bronkhorstbaai
,,
0,,Morningside
,,
1999000,,South Hills
,,
2950000,,Soshanguve L
,,
1155000,,Kenilworth
,,
880000,,Vanderbijlpark SE 3
,,
3800000,,Parktown
,,
1330000,,Parkdene
,,
1280000,,Beyers Park
,,
7950000,,Rondebult
,,
11600000,,Sky City
,,
2890000,,Orchards
,,
649000,,Dobsonville Gardens
,,
890000,,Cultura Park
,,
3450000,,Oriel
,,
650000,,Pine Park
,,
3040000,,Selection Park
,,
1460000,,Alliance
,,
5450000,,Van Der Merwes Kroon
,,
8000000,,Zwavelpoort AH
,,
1100000,,Ililiba
,,
0,,Thatchfield Close
,,
695000,,Evaton Central
,,
600000,,Robindale
,,
844140,,Lady Selborne
,,
1590000,,Vanderbijlpark CE 4
,,
4499000,,Modderbee
,,
890000,,Morningside Manor
,,
1950000,,Vereeniging Central
,,
1400000,,Amandasig
,,
4550000,,Bryanston
,,
800000,,Brackenhurst
,,
960000,,Meyersdal Eco Estate
,,
2695000,,Roodeplaat
,,
2749000,,Pomona
,,
4490000,,Bronkhorstbaai
,,
3950000,,Kelvin
,,
690000,,Craighall
,,
1425000,,Carlswald
,,
20000000,,South Hills
,,
1350000,,Morula View
,,
970000,,Erasmia
,,
920000,,Turffontein
,,
4999000,,Ninapark
,,
858990,,Mindalore
,,
6804550,,Centurion Golf Estate
,,
2990000,,Craigavon
,,
4275000,,Pierre Van Ryneveld
,,
1280000,,Waterkloof Ridge
,,
2300000,,Malanshof
,,
4500000,,Hennops River
,,
2295000,,Montana Park
,,
2220000,,Gallo Manor
,,
1599000,,Albemarle
,,
0,,Montana
,,
2350000,,Randfontein Central
,,
1550000,,Irene Farm Villages
,,
2349000,,Magalieskruin
,,
8000000,,Daveyton
,,
1345000,,Brooklands Lifestyle Estate
,,
699000,,Illiondale
,,
8995000,,Vanderbijlpark CE 4
,,
3750000,,Benmore Gardens
,,
6300000,,Gallo Manor
,,
445000,,Bryanston
,,
2550000,,Katlehong South
,,
1850000,,Birchleigh
,,
1200000,,Brooklyn
,,
1850000,,North Riding AH
,,
1400000,,Kempton Park AH
,,
